,metric,playername,player_counter
177,accel_load_accum,PLAYER_552,183
178,distance_total,PLAYER_915,183
179,distance_total,PLAYER_552,183
180,accel_load_accum,PLAYER_964,182
181,accel_load_accum,PLAYER_159,182
182,accel_load_accum,PLAYER_324,180
183,distance_total,PLAYER_324,180
184,distance_total,PLAYER_964,180
185,accel_load_accum,PLAYER_413,177
186,distance_total,PLAYER_413,177
187,accel_load_accum,PLAYER_706,176
188,distance_total,PLAYER_159,176
189,distance_total,PLAYER_706,175
190,accel_load_accum,PLAYER_1264,174
191,accel_load_accum,PLAYER_905,172
192,distance_total,PLAYER_905,171
193,distance_total,PLAYER_1264,167
194,accel_load_accum,PLAYER_1213,165
195,accel_load_accum,PLAYER_1265,165
196,distance_total,PLAYER_1213,164
197,distance_total,PLAYER_1265,164
198,accel_load_accum,PLAYER_457,163
199,distance_total,PLAYER_457,162
200,accel_load_accum,PLAYER_1121,157
201,accel_load_accum,PLAYER_530,156
202,distance_total,PLAYER_1121,156
203,distance_total,PLAYER_530,155
204,accel_load_accum,PLAYER_1190,150
205,accel_load_accum,PLAYER_816,149
206,accel_load_accum,PLAYER_666,148
207,distance_total,PLAYER_1190,148
208,distance_total,PLAYER_666,148
209,accel_load_accum,PLAYER_243,147
210,distance_total,PLAYER_243,147
211,accel_load_accum,PLAYER_756,145
212,accel_load_accum,PLAYER_693,145
213,accel_load_accum,PLAYER_1000,145
214,accel_load_accum,PLAYER_855,145
215,accel_load_accum,PLAYER_145,145
216,distance_total,PLAYER_756,145
217,distance_total,PLAYER_693,145
218,distance_total,PLAYER_816,145
219,distance_total,PLAYER_855,145
220,accel_load_accum,PLAYER_933,144
221,distance_total,PLAYER_1000,144
222,accel_load_accum,PLAYER_579,143
223,distance_total,PLAYER_145,143
224,distance_total,PLAYER_933,143
225,distance_total,PLAYER_579,141
226,accel_load_accum,PLAYER_252,140
227,distance_total,PLAYER_252,139
228,accel_load_accum,PLAYER_293,135
229,distance_total,PLAYER_293,135
230,accel_load_accum,PLAYER_796,133
231,distance_total,PLAYER_796,133
232,accel_load_accum,PLAYER_341,128
233,distance_total,PLAYER_1230,127
234,distance_total,PLAYER_341,127
235,accel_load_accum,PLAYER_1230,126
236,distance_total,PLAYER_1124,126
237,accel_load_accum,PLAYER_1124,124
238,accel_load_accum,PLAYER_111,124
239,distance_total,PLAYER_111,123
240,accel_load_accum,PLAYER_1171,120
241,accel_load_accum,PLAYER_648,119
